region_key,driver,unit,value,low,high,source_url,last_verified,basis,notes,status
us-va-northern,water_rate_usd_per_kgal,USD per 1000 gal,7.59,,,https://www.loudounwater.org/rates-fees-charges-penalties,2026-01,sourced,"Loudoun Water (the retail utility for Loudoun County; Fairfax Water is only the wholesale supplier and was not used). Read off the 'Central System Water and Sewer User Rates' table, Water Usage Rates, Multifamily & Commercial line: Tier 1 $4.42 and Tier 2 $7.59 per 1,000 gallons. Took Tier 2, the top block, as the rate a very large flat-load user pays. Already published per 1,000 gallons; no unit conversion. The page prints the two commercial tiers without stating the gallon threshold between them (only the residential tiers show 0-25,000 / 25,001-50,000 / over 50,000 gal breakpoints), so the exact breakpoint could not be read off the page. Rates effective January 1, 2026. Wastewater is billed separately by Loudoun Water on the same metered volume at $6.59 per 1,000 gallons (all customers), so an all-in volumetric cost is about $14.18 per 1,000 gal. Reclaimed water on the same page is $2.07 per 1,000 gal; non-potable/irrigation is $9.34. Quarterly basic charges are additional and scale with meter size (6-inch commercial water $3,125.80/quarter).",filled
us-tx-dfw,water_rate_usd_per_kgal,USD per 1000 gal,5.88,,,https://codelibrary.amlegal.com/codes/dallas/latest/dallas_tx/0-0-0-125173,2025-10,sourced,"Dallas Water Utilities, Dallas City Code Sec. 49-18.1(c)(2)(B), general (commercial) service usage charges. Three steps read off the page: up to 10,000 gal $5.32; above 10,000 gal $5.88; above 10,000 gal AND above 1.4 times the customer's own annual average monthly use $8.59. Took $5.88, the step that applies above 10,000 gal/month. Did NOT use the $8.59 step: it only triggers on seasonal peaking above 1.4x the customer's own average month, which a flat-load data center will not hit. Published per 1,000 gallons; no conversion. Effective date: the code page carries no 'eff.' note, only the amendment history ending at Ord. 33232, and the page is labeled '4/2026 Code (S-32) (current)'. Dallas resets utility rates each fiscal year on October 1, and the DWU rate insert for this schedule is titled 'City of Dallas utility fees effective October 1, 2025' (https://dallascityhall.com/departments/waterutilities/Documents/COD%20Rates%20Insert_Digital.pdf), so 2025-10 is used; that PDF itself could not be opened (robots/TLS blocked), so the effective date is inferred from its title rather than read inside it. Wastewater is billed separately under Sec. 49-18.2 on metered water volume; that section's rate is not on this page. Fort Worth is a separate utility and prices per CCF - not used.",filled
us-az-phoenix,water_rate_usd_per_kgal,USD per 1000 gal,7.55,6.59,8.2,https://www.phoenix.gov/content/dam/phoenix/waterservicessite/documents/rates_effective_march_2025.pdf,2025-03,sourced,"City of Phoenix Water Services rate schedule effective March 1, 2025. 'User and Other Charges' volume rates, inside-city column: low season (Jan/Feb/Mar/Dec) $4.93 per CCF, medium season (Apr/May/Oct/Nov) $5.65, high season (Jun-Sep) $6.13. Converted at 1 CCF = 748 gal (the schedule states this): value = 5.65/0.748 = 7.55; low = 4.93/0.748 = 6.59; high = 6.13/0.748 = 8.20. Used the medium season for value because a data center runs a flat year-round load. Note the schedule does NOT publish a separate non-residential volume table - the same per-CCF volume rates apply to residential and non-residential inside the city; only the fixed monthly service charge varies by meter size and location. Outside-city volume is 150% of inside. An environmental mandate charge of $0.62 per CCF inside city (=$0.83 per 1,000 gal) is billed on top of the volume rate and is NOT included in value. Wastewater is not in this document and is billed separately.",filled
us-ga-atlanta,water_rate_usd_per_kgal,USD per 1000 gal,8.24,,,https://www.ajc.com/news/local/got-water-atlanta-rates-again-friday/oA6jVZqMeUKulVgVYIt8MN/ https://atlantawatershed.org/waterrates/,2011-07,modeled,"Could not read the current rate off any City of Atlanta Department of Watershed Management page. The official 'Water and Sewer Rates' page (https://atlantawatershed.org/waterrates/) publishes only Fulton County's supplemental sewer charges (service $5.62/30 days, usage $6.72 per CCF effective 1/1/2026) plus the statement that 'Atlanta's water and sewer rates have not increased since 2012' and are held through June 30, 2028. The City's own tiers live only in the '2025 Water-Sewer Rates Fact Sheet' hosted on Google Drive (https://drive.google.com/file/d/1KdbW1uTS5iHjwtp4Vr3dYGyvy4v7DTTm/view), which is robots-disallowed and returned no text via file/view, /preview, uc?export=download and drive.usercontent download; the same file is what ATL311 KB0012935 links to as 'Get Rate Information'. The bill calculator (atlantawatershed.org/billcalculator/) loads from aws.h2o4atl.com, which fails TLS. Also checked atlanta.elaws.us Sec. 154-112 (redirect loop, unfetchable) and library.municode.com (403). So the number here comes from a live AJC news page reporting the last increase in the series: Atlanta charges three increasing tiers per CCF and a data center sits wholly in tier 3 (7+ CCF): WATER $6.16 per CCF, sewer $15.69 per CCF, effective July 1, 2011. Converted 6.16/0.748 = 8.24 per 1,000 gal. Basis is modeled, not sourced, because the figure is (a) from a news page rather than the tariff and (b) carried forward to today on the utility's 'no increase since 2012' statement, which leaves a possible 2012 step unaccounted for. Sewer is billed on the same metered water volume and is roughly 2.5x the water rate ($15.69/CCF = $20.98 per 1,000 gal), so the combined volumetric cost is far larger than the water line alone - Atlanta commonly publishes water and sewer combined, and that combined figure was deliberately NOT used here. Ignored cleanwateratlanta.h2o4atl.com: confirmed dead, now serving gambling spam.",filled
us-oh-columbus,water_rate_usd_per_kgal,USD per 1000 gal,8.84,,,https://www.columbus.gov/files/sharedassets/city/v/6/services/public-utilities/water-rate-chart.pdf,2026-01,sourced,"City of Columbus Division of Water rate chart, all rates stated 'Effective January 1, 2026'. Used the INDUSTRIAL, inside-city row: $6.610 per CCF (rate codes SQIC/SMIC). Converted at 1 CCF = 748 gal: 6.610/0.748 = 8.84 per 1,000 gal. Flat per-CCF commodity charge, no volume blocks, so there is no large-user discount. Which class a data center is billed under matters here and I used INDUSTRIAL: industrial is priced ABOVE commercial in Columbus. For reference, commercial inside city is $5.850 per CCF (WMIC) = $7.82 per 1,000 gal; industrial outside city/suburban is $7.170 per CCF (SQII/SMII) = $9.59; commercial outside city $6.180 (ZQIC) = $8.26. Suburban sites such as New Albany pay the outside-city column. Residential is tiered ($4.448 first 5 CCF/mo, $4.932 over) and is not applicable. Sanitary sewer and stormwater are separate Columbus charges not included in this water figure.",filled
us-il-chicago,water_rate_usd_per_kgal,USD per 1000 gal,4.89,,,https://www.chicago.gov/city/en/depts/fin/supp_info/utility-billing/water-and-sewer-rates.html,2025-06,sourced,"City of Chicago Department of Water Management, water rate history table. Most recent effective row on the page is 6/1/2025 (+4.00%); there is no 6/1/2026 row published as of this check. Headline 'Rate' column is $36.51 per 1,000 CUBIC FEET - recording that directly would overstate cost about 7.5x. Took the adjacent 'Approximate Water Cost' column, $4.89, which the City already states per 1,000 gallons, so no conversion was needed (cross-check: 36.51/7.4805 = 4.88). Flat rate: Chicago has no customer classes and no volume blocks, so a data center pays the same volumetric rate as everyone else. Sewer is billed on the same metered water volume at 100 percent of the water charge (since 1/1/2015) as a separate line item, so the combined volumetric cost is about $9.78 per 1,000 gallons.",filled
us-ut-salt-lake-city,water_rate_usd_per_kgal,USD per 1000 gal,4.52,3.45,5.59,https://www.slc.gov/utilities/fy27rates/,2026-07,modeled,"Salt Lake City Department of Public Utilities FY27 rates, which the page states took effect July 1, 2026. Commercial / Industrial / Institutional water: summer (April-October) $4.18 per CCF, winter (November-March) $2.58 per CCF. Converted at 1 CCF = 748 gal: summer 4.18/0.748 = 5.59 (high), winter 2.58/0.748 = 3.45 (low). value is the simple unweighted mean of the two seasonal rates ((4.18+2.58)/2 = 3.38 per CCF = 4.52 per 1,000 gal) - basis is modeled because of that averaging, not because of the unit conversion. Summer is 62% above winter, so the single annual number is misleading without the range; a real flat-load bill would be month-weighted (7 summer months / 5 winter months would give about 4.70). The obvious page slc.gov/utilities/pay-my-bill/current-rates carries residential rates only and was not used. Sewer for this class is billed on 70% of metered water consumption at $10.97 per CCF ($14.67 per 1,000 gal of sewered volume) plus $9.58/month per ERU - i.e. sewer is on the same water volume but discounted to 70% of it, and it is well above the water rate.",filled
us-tx-san-antonio,water_rate_usd_per_kgal,USD per 1000 gal,5.04,,,https://www.saws.org/service/water-sewer-rates/general-class-rates/ https://www.saws.org/service/water-sewer-rates/water-supply-fee/,2026-01,modeled,"San Antonio Water System, General Class (commercial/industrial). SAWS splits the volumetric water charge across two separate published schedules and both must be added. (1) Water Delivery, general-class page, 'Effective for Consumption on or about January 1, 2026', inside city: base block (up to 100% of the customer's annual average monthly use) $1.958 per 1,000 gal; then $2.252 (>100-125%), $2.937 (>125-175%), $3.427 (>175%). (2) General Class Water Supply Fee, base block $3.079 per 1,000 gal (then $3.541 / $4.619 / $5.389). Sum of the base blocks = 1.958 + 3.079 = $5.037, rounded to 5.04 per 1,000 gal. Both components are already per 1,000 gallons; no unit conversion. Used the BASE block because SAWS defines blocks as a percentage of the customer's own prior-year average month, not fixed gallons - a flat-load data center sits in its own base block essentially all year and never escalates. The supply fee is larger than the delivery charge, so reading only the general-class page would understate water cost by about 61%. Basis is modeled because the two components carry different vintages: the delivery page states January 1, 2026 while the water supply fee page's table is labeled 2024 under a legacy 'effective January 1, 2023' heading, so the sum is not a single as-published number. Wastewater is billed on the same volume, flat across all usage, at $4.3680 per 1,000 gal inside city (2026), which nearly doubles the volumetric bill to about $9.41.",filled
us-or-portland,water_rate_usd_per_kgal,USD per 1000 gal,11.81,,,https://www.portland.gov/water/pay-your-utility-bill/water-bill-rates-and-charges,2026-07,sourced,"Portland Water Bureau, water volume charge $8.833 per CCF for the fiscal year July 1, 2026 to June 30, 2027 (rates reset every July 1). Converted at 1 CCF = 748 gal: 8.833/0.748 = 11.81 per 1,000 gal. Flat rate - no volume blocks, no separate commercial class, so a large flat-load user pays the same volumetric rate as everyone else. Sewer (sanitary) is billed on the same metered water volume and is higher than water itself: nonresidential $14.73 per CCF = $19.69 per 1,000 gal (residential $14.24 per CCF), same FY26-27 effective period, so the combined volumetric cost is about $31.50 per 1,000 gal. Stormwater is deliberately excluded from this per-gallon rate because it is not volumetric: it is charged on impervious/developed area at $14.739 per 1,000 sq ft of billable area per 30 days.",filled
us-ne-omaha,water_rate_usd_per_kgal,USD per 1000 gal,2.63,,,https://www.mudomaha.com/wp-content/uploads/2025/12/W-3-Eff-01.2026-FINAL.pdf,2026-01,sourced,"Metropolitan Utilities District of Omaha, Rate Schedule W-3 Large Volume Industrial Water Service, effective January 2, 2026 (linked from https://www.mudomaha.com/rates-fees/). W-3 is a declining block: the first 5,000 CCF or less is a LUMP SUM of $11,456.00 (not a per-unit rate), and the marginal rate over 5,000 CCF is $1.9657 per CCF. Took the marginal over-5,000-CCF rate: 1.9657/0.748 = 2.63 per 1,000 gal (schedule states 1 CCF = 748 gal). Did not divide the lump sum by anything - at exactly 5,000 CCF it implies $2.29/CCF, and dividing it by any other volume gives a wrong number. Which schedule a data center actually qualifies for: W-3 requires an industrial process user with normal consumption of 5,000+ CCF/month and a one-year commitment, and explicitly excludes irrigation; W-4 is 'available to AND REQUIRED OF' commercial and industrial customers buying water primarily for sprinkling, lake/lagoon recharge and/or COOLING. A data center whose load is chiefly evaporative cooling would therefore be pushed onto W-4, whose over-1,100-CCF block is $2.0093 per CCF Nov-May ($2.69 per 1,000 gal) and $4.0350 per CCF Jun-Oct ($5.39 per 1,000 gal) - materially worse in summer. W-2 (general commercial/industrial) is $2.0309 per CCF Nov-May and $2.7187 Jun-Oct ($2.71 / $3.63 per 1,000 gal). Value reported is W-3 as instructed; treat W-4 as the realistic downside. A $11,456 minimum monthly commodity charge plus a meter service charge (up to $1,405/mo at 12-inch) applies under W-3, and a 2% statutory payment applies inside city/village limits. Sewer is set by the City of Omaha, not MUD, and is not included.",filled
